# Blockpost room-protocol capture, started 2026-08-23 04:22:23
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
13573,8 weapon-dump: AllWeapons count=1024
13580,2 weapon-dump: [WeaponDump] id=23, codename=beretta92, name=Beretta 92
13580,8 weapon-dump: [WeaponDump] id=28, codename=kriss_vector, name=KRISS Vector
13581,3 weapon-dump: [WeaponDump] id=68, codename=shovel, name=Shovel
13581,8 weapon-dump: [WeaponDump] id=69, codename=block, name=Block
13582,9 weapon-dump: [WeaponDump] id=71, codename=sl8, name=SL8
13583,4 weapon-dump: [WeaponDump] id=107, codename=ammo, name=BP Ammo
13584,1 weapon-dump: [WeaponDump] id=108, codename=grenade, name=BP Grenade
13584,7 weapon-dump: [WeaponDump] id=109, codename=medkit, name=BP Medkit
13585,3 weapon-dump: [WeaponDump] id=110, codename=shield, name=BP Armor
13588,9 weapon-dump: Loadout count=9
13594,0 weapon-dump: [WeaponDump] loadout[0] uid=506244901116593530, weaponId=28, codename=kriss_vector, amount=48
13595,0 weapon-dump: [WeaponDump] loadout[1] uid=506244901116593531, weaponId=23, codename=beretta92, amount=3
13595,7 weapon-dump: [WeaponDump] loadout[2] uid=506244901116621428, weaponId=71, codename=sl8, amount=71
13596,7 weapon-dump: [WeaponDump] loadout[3] uid=1, weaponId=68, codename=shovel, amount=0
13597,5 weapon-dump: [WeaponDump] loadout[4] uid=2, weaponId=69, codename=block, amount=0
13598,3 weapon-dump: [WeaponDump] loadout[5] uid=3, weaponId=107, codename=ammo, amount=0
13598,9 weapon-dump: [WeaponDump] loadout[6] uid=4, weaponId=108, codename=grenade, amount=0
13599,6 weapon-dump: [WeaponDump] loadout[7] uid=5, weaponId=109, codename=medkit, amount=0
13600,2 weapon-dump: [WeaponDump] loadout[8] uid=6, weaponId=110, codename=shield, amount=0
13601,6 weapon-dump: Cases count=1024
13603,4 weapon-dump: [WeaponDump] case[1] id=1, codename=starter, name=Starter Case #1
13604,2 weapon-dump: [WeaponDump] case[1] weapon[0] id=34, codename=bizon, name=Bizon
13604,8 weapon-dump: [WeaponDump] case[1] weapon[1] id=61, codename=beretta_mx4, name=Berretta MX4
13605,5 weapon-dump: [WeaponDump] case[1] weapon[2] id=65, codename=daewoo_k1, name=Daewoo K1
13610,4 weapon-dump: [WeaponDump] case[1] weapon[3] id=1, codename=ak47, name=AK-47
13611,4 weapon-dump: [WeaponDump] case[2] id=2, codename=starter, name=Starter Case #2
13612,4 weapon-dump: [WeaponDump] case[2] weapon[0] id=10, codename=tec9, name=TEC 9
